-5340,1.6655327337539553e+39,,,
-7236,1.1429533852439874e+39,,,
-1800,7.287378354966964e+38,,,
-8283,1.1242338577013223e+38,,,
-8673,3.3197844777251836e+37,,,
-2721,5.980327135132415e+36,,,
-7024,5.1569953918317304e+36,,,
-5136,1.562751283978512e+36,,,
-2509,1.2730586131310032e+36,,,
-7800,5.5907440325582386e+35,,,
-1429,3.174230585239121e+35,,,
-11434,1.1763578921651316e+35,,,
-4564,6.152003991103944e+34,,,
-12510,1.6961495392745576e+34,,,
-9001,2.2415645441943598e+33,,,
-2490,1.6526923666074447e+33,,,
-7620,1.0877979509623403e+33,,,
-3170,3.690164181697525e+32,,,
-3887,2.3829556599671088e+32,,,
-12324,2.3359522507148717e+32,,,
-10108,1.2069768078523806e+32,,,
-5895,5.236714247599651e+31,,,
-8074,3.3125764960876475e+31,,,
-8302,2.950556903839424e+31,,,
-7125,2.0751206421757033e+31,,,
-12650,2.0722983573252095e+31,,,
-3859,1.64308401560534e+31,,,
-5951,6.393674683856153e+30,,,
-8130,4.3382494320335767e+30,,,
-9372,3.686188722859938e+30,,,
-8782,2.956392983674748e+30,,,
-3930,2.342344389862355e+30,,,
-1049,1.8207859601220077e+30,,,
-14168,1.0917688543346707e+30,,,
-9083,5.7256907711702096e+29,,,
-1569,4.540659344852848e+29,,,
-5307,3.3436776114890134e+29,,,
-2861,2.4075026838225452e+29,,,
-5471,1.9064237247712883e+29,,,
-2481,1.8212666028893275e+29,,,
-9844,1.2697638155441835e+29,,,
-6288,1.0617785617143599e+29,,,
-7239,7.699658106474175e+28,,,
-3419,7.580653777166598e+28,,,
-7421,7.545760913666674e+28,,,
-3279,6.109488600036361e+28,,,
-202,2.809009620565166e+28,,,
-3479,1.3367988573274927e+28,,,
-3471,8.789309754801367e+27,,,
-7786,7.282063411632628e+27,,,
-9277,3.8488789417340457e+27,,,
-1361,2.9041040072645124e+27,,,
-13830,2.9041040072645124e+27,,,
-11271,2.290639098338226e+27,,,
-13347,2.087128149949303e+27,,,
-10000,1.7380251613725238e+27,,,
-1794,1.6235668229389974e+27,,,
-1632,1.455638528022025e+27,,,
-1379,1.3788458214021594e+27,,,
-914,1.2891927291253058e+27,,,
-1605,1.2444271313943011e+27,,,
-635,9.245508609863513e+26,,,
-9268,7.547042096021154e+26,,,
-7453,7.525322135334769e+26,,,
-8267,7.322498931962421e+26,,,
-5621,6.623425152682117e+26,,,
-7179,3.4912558672880586e+26,,,
-2784,2.9854722068958028e+26,,,
-2585,2.9284705107891208e+26,,,
-11930,2.560294026374017e+26,,,
-12247,1.9373277756790625e+26,,,
-4644,1.605015232868785e+26,,,
-860,9.741220740185399e+25,,,
-68,9.337895397220953e+25,,,
-6735,8.685955688713748e+25,,,
-5420,8.642181134994886e+25,,,
-12473,8.235670878002118e+25,,,
-10071,7.938471405773084e+25,,,
-11516,5.266963456442458e+25,,,
-2228,4.676644241467061e+25,,,
-1063,3.89701379484514e+25,,,
-50,3.134784319237743e+25,,,
-3767,3.1300582007030475e+25,,,
-12094,2.862725330428504e+25,,,
-7112,2.7670786319777334e+25,,,
-11026,2.4666703480549095e+25,,,
-9694,2.188869993567109e+25,,,
-4354,2.1587268627049416e+25,,,
-4057,1.793515619395846e+25,,,
-12894,1.7655781612215193e+25,,,
-14112,1.7297691216225706e+25,,,
-13783,1.7079597067313544e+25,,,
-8986,1.535102187645791e+25,,,
-9602,1.5285311107974404e+25,,,
